[210]		一	×一
[1600]		帰	⿰{リ,⿱{∃,⿻⿱{冖,巾}}}(⿰{刂,⿱{∃,⿻⿱{冖,巾}}})(⿰{リ,帚})(⿰{刂,帚})
[1601]		座	⿸{广,坐}
[1602]		庫	⿸{广,車}
[1603]		庭	⿸{广,廷}
[1604]		弱	⿰{⿹{弓,ン},⿹{弓,ン}}
[1605]		徐	⿰{彳,余}
[1606]		徒	⿰{彳,走}
[1607]		従	⿰{彳,⿻⿱{丷,𤴓}}
[1608]		恋	⿱{亦,心}
[1609]		恐	⿱{⿰{工,凡},心}
[1610]		恙	⿱{⺷,心}
[1611]		恣	⿱{⿰{二,欠},心}(⿱{次,心})
[1612]		恥	⿰{耳,心}
[1613]		恩	⿱{因,心}
[1614]		恭	⿱{⿻⿱{卄,一},⺗}
[1615]		息	⿱{自,心}
[1616]		恵	⿱{⿻⿱{一,由},心}
[1617]		悄	⿰{忄,⿻⿱{𡭔,月}}(⿰{忄,肖})
[1618]		悋	⿰{忄,吝}
[1619]		悌	⿰{忄,弟}
[1620]		悍	⿰{忄,早}
[1621]		悖	⿰{忄,⿱{⿻⿱{十,冖},子}}
[1622]		悚	⿰{忄,束}
[1623]		悟	⿰{忄,吾}
[1624]		悦	⿰{忄,兑}
[1625]		悩	⿰{忄,⿱{⺍,凶}}
[1626]		扇	⿸{戸,羽}
[1627]		拳	⿵{龹,手}
[1628]		拿	⿱{合,手}
[1629]		挙	⿵{⿻⿱{⿱{⺍,一},八},千}
[1630]		挨	⿰{扌,矣}
[1631]		挫	⿰{扌,坐}
[1632]		振	⿰{扌,辰}
[1633]		挺	⿰{扌,廷}
[1634]		挽	⿰{扌,免}
[1635]		挾	⿰{扌,夾}
[1636]		挿	⿰{扌,⿻×{千,日}}
[1637]		捉	⿰{扌,足}
[1638]		捌	⿰{扌,別}
[1639]		捏	⿰{扌,⿱{日,土}}
[1640]		捕	⿰{扌,甫}
[1641]		捗	⿰{扌,歩}
[1642]		捜	⿰{扌,⿱{由,又}}
[1643]		捩	⿰{扌,戻}
[1644]		敏	⿰{毎,攵}
[1645]		料	⿰{米,斗}
[1647]		旅	⿰{方,⿱{𠂉,⿻⿸{⿻⿱{ノ,丨},⿱{ノ,乀}}}}
[1649]		既	⿰{⿻⿸{⿻⿱{∃,レ},ヽ},牙}
[1650]		時	⿰{日,寺}
[1651]		晃	⿱{日,光}
[1652]		晋	⿱{⿻⿱{一,业},日}
[1653]		晏	⿱{日,安}
[1654]		晒	⿰{日,西}
[1655]		晦	⿰{日,毎}
[1656]		書	⿱{⿻⿱{⿻×{⺕,丨},二},日}
[1657]		朔	⿰{屰,月}
[1658]		朗	⿰{⿻⿱{′,⿻⿸{⿻⿱{∃,レ},ヽ}},月}
[1659]		柴	⿱{此,木}
[1660]		栓	⿰{木,全}
[1661]		栖	⿰{木,西}
[1662]		栗	⿱{⻃,木}
[1663]		校	⿰{木,交}
[1664]		株	⿰{木,朱}
[1665]		栴	⿰{木,⿱{𠂉,円}}
[1666]		核	⿰{木,亥}
[1667]		根	⿰{木,⿸{⿻⿱{∃,レ},⿻⿱{ノ,乀}}}
[1668]		格	⿰{木,各}
[1669]		栽	⿹{⿻↖{十,戈},木}
[1670]		桁	⿰{木,行}
[1671]		桂	⿰{木,圭}
[1672]		桃	⿰{木,兆}
[1673]		案	⿱{安,木}
[1674]		桎	⿰{木,至}
[1675]		桐	⿰{木,同}
[1676]		桑	⿱{叒,木}
[1677]		桓	⿰{木,亘}
[1678]		桔	⿰{木,吉}
[1679]		桜	⿰{木,⿱{⺍,女}}
[1680]		桟	⿰{木,㦮}
[1681]		桧	⿰{木,会}
[1682]		梅	⿰{木,毎}
[1683]		殉	⿰{歹,旬}
[1684]		殊	⿰{歹,朱}
[1685]		残	⿰{歹,㦮}
[1686]		殷	⿰{⿻⿸{⿻⿸{⺁,∃},㇆},殳}
[1687]		殺	⿰{⿱{㐅,木},殳}
[1688]		氣	⿹{气,米}
[1689]		泰	⿵{𡗗,水}
[1690]		流	⿰{氵,⿱{⿻⿱{亠,厶},⿲{丿,丨,乚}}}
[1691]		浙	⿰{氵,折}
[1692]		浚	⿰{氵,夋}
[1693]		浜	⿰{氵,兵}
[1694]		浣	⿰{氵,完}
[1695]		浦	⿰{氵,甫}
[1696]		浩	⿰{氵,告}
[1697]		浪	⿰{氵,良}
[1698]		浮	⿰{氵,⿱{⺤,子}}
[1699]		浴	⿰{氵,谷}
[1700]		浸	⿰{氵,⿳{∃,冖,又}}
[1701]		涅	⿰{氵,⿱{日,土}}
[1702]		消	⿰{氵,肖}
[1703]		涌	⿰{氵,甬}
[1704]		涎	⿰{氵,廷}
[1705]		涕	⿰{氵,弟}
[1706]		涙	⿰{氵,戻}
[1707]		涜	⿰{氵,売}
[1708]		烈	⿱{列,灬}
[1709]		烏	⿹{⿻⿱{⿻⿸{⿻⿰{⿻⿱{′,丨},コ},一},㇆},灬}
[1710]		烙	⿰{火,各}
[1711]		烟	⿰{火,因}
[1712]		特	⿰{牜,寺}
[1713]		狷	⿰{犭,員}
[1714]		狸	⿰{犭,里}
[1715]		狼	⿰{犭,良}
[1716]		狽	⿰{犭,貝}
[1717]		珠	⿰{𤣩,朱}
[1718]		珪	⿰{𤣩,圭}
[1719]		班	⿰{𤣩,圧}
[1720]		畔	⿰{田,半}
[1721]		留	⿱{⿰{⿻⿱{ノ,厶},刀},田}
[1722]		畚	⿵{⿻⿱{厶,大},田}
[1723]		畜	⿱{玄,田}
[1724]		畝	⿰{亩,久}
[1725]		畠	⿱{白,田}
[1726]		疱	⿸{疒,⿹{勹,巳}}
[1727]		疲	⿸{疒,皮}
[1728]		疳	⿸{疒,甘}
[1729]		疼	⿸{疒,冬}
[1730]		疾	⿸{疒,矢}
[1731]		病	⿸{疒,丙}
[1732]		症	⿸{疒,正}
[1733]		益	⿳{䒑,八,皿}
[1734]		眞	⿱{七,⿺{⿱{㇄,ハ},目}}
[1735]		真	⿻⿱{十,具}
[1736]		眠	⿰{目,民}
[1737]		眩	⿰{目,玄}
[1738]		矩	⿰{矢,巨}
[1739]		砥	⿰{石,氐}
[1740]		砲	⿰{石,包}
[1741]		破	⿰{石,皮}
[1742]		祗	⿰{示,氐}
[1743]		祟	⿱{出,示}
[1744]		祠	⿰{⺬,司}
[1745]		祥	⿰{⺭,羊}
[1746]		秘	⿰{禾,必}
[1747]		租	⿰{禾,且}
[1748]		秣	⿰{禾,末}
[1749]		秤	⿰{禾,平}
[1750]		秦	⿵{𡗗,禾}
[1751]		秩	⿰{禾,矢}
[1752]		称	⿰{禾,尓}
[1753]		穿	⿱{⿻⿱{宀,儿},牙}
[1754]		窄	⿱{⿻⿱{宀,儿},乍}
[1755]		窈	⿱{⿻⿱{宀,儿},幼}
[1756]		竜	⿱{立,甩}
[1757]		笊	⿱{⺮,爪}
[1758]		笏	⿱{⺮,勿}
[1759]		笑	⿱{⺮,矢}
[1760]		粉	⿰{米,分}
[1761]		粋	⿰{米,卆}
[1762]		紊	⿱{文,糸}
[1763]		紋	⿰{糸,文}
[1764]		納	⿰{糸,内}
[1765]		紐	⿰{糸,丑}
[1766]		純	⿰{糸,屯}
[1767]		紗	⿰{糸,少}
[1768]		紙	⿰{糸,氏}
[1769]		紛	⿰{糸,分}
[1770]		素	⿱{龶,糸}
[1771]		紡	⿰{糸,方}
[1772]		索	⿱{⿻⿱{十,冖},糸}
[1773]		缺	⿰{缶,夬}
[1774]		翁	⿱{公,羽}
[1775]		耄	⿱{老,毛}
[1776]		耆	⿱{老,日}
[1777]		耕	⿰{耒,并}
[1778]		耗	⿰{耒,毛}
[1779]		耽	⿰{耳,冘}
[1780]		耿	⿰{耳,火}
[1781]		胯	⿰{月,夸}
[1782]		胴	⿰{月,同}
[1783]		胸	⿰{月,匈}
[1784]		胼	⿰{月,并}
[1785]		能	⿰{⿱{厶,月},⿱{匕,匕}}
[1786]		脂	⿰{月,旨}
[1787]		脅	⿱{劦,月}
[1788]		脆	⿰{月,危}
[1789]		脇	⿰{月,劦}
[1790]		脈	⿰{月,⿸{⺁,⿻⿸{⿻⿱{ノ,丨},⿱{ノ,乀}}}}
[1791]		脊	⿵{⿲{二,人,二},月}
[1792]		致	⿰{至,攵}
[1793]		舐	⿰{舌,氏}
[1794]		航	⿰{舟,亢}
[1795]		般	⿰{舟,殳}
[1796]		茣	⿱{⺾,呉}
[1797]		荷	⿱{⺾,何}
[1798]		荻	⿱{⺾,狄}
[1799]		荼	⿱{⺾,余}
[1800]		莉	⿱{⺾,利}
[1801]		莞	⿱{⺾,完}
[1802]		莢	⿱{⺾,夾}
[1803]		莫	⿱{⺾,旲}
[1804]		華	⿱{⺾,⿻⿱{$11,一}}
[1805]		蚊	⿰{虫,文}
[1806]		蚕	⿵{天,虫}
[1807]		蚤	⿵{⿻⿰{丶,叉},虫}
[1808]		衰	⿳{亠,⿻×{口,一},𧘇}
[1809]		袖	⿰{⻂,由}
[1811]		袢	⿰{⻂,⿻×{⿱{ハ,二},丨}}
[1812]		被	⿰{⻂,皮}
[1813]		訊	⿰{言,卂}
[1814]		討	⿰{言,寸}
[1815]		訓	⿰{言,川}
[1816]		託	⿰{言,乇}
[1817]		記	⿰{言,己}
[1818]		豹	⿰{豸,勺}
[1819]		豺	⿰{豸,オ}
[1820]		財	⿰{貝,オ}
[1821]		貢	⿱{工,貝}
[1822]		赳	⿺{走,丩}
[1823]		起	⿺{走,己}
[1824]		躬	⿰{身,弓}
[1825]		軒	⿰{車,干}
[1826]		辱	⿱{辰,寸}
[1827]		迸	⿺{⻍,并}
[1828]		透	⿺{⻌,秀}
[1829]		逐	⿺{⻌,豕}
[1830]		逓	⿺{⻌,乕}
[1831]		途	⿺{⻌,余}
[1832]		逗	⿺{⻍,豆}
[1833]		這	⿺{⻍,言}
[1834]		通	⿺{⻌,甬}
[1835]		逝	⿺{⻌,折}
[1836]		速	⿺{⻌,束}
[1837]		造	⿺{⻌,告}
[1838]		逢	⿺{⻍,夆}
[1839]		連	⿺{⻌,車}
[1840]		郡	⿰{君,阝}
[1841]		酌	⿰{酉,勺}
[1842]		配	⿰{酉,己}
[1843]		酒	⿰{氵,酉}
[1844]		釘	⿰{金,丁}
[1845]		釜	⿱{父,金}
[1846]		針	⿰{金,十}
[1847]		閃	⿵{門,人}
[1848]		降	⿰{阝,夂}
[1849]		陛	⿰{阝,坒}
[1850]		陝	⿰{阝,夾}
[1851]		陞	⿰{阝,⿱{升,土}}
[1852]		院	⿰{阝,完}
[1853]		陣	⿰{阝,車}
[1854]		除	⿰{阝,余}
[1855]		陥	⿰{阝,⿻⿱{⺈,旧}}
[1856]		隻	⿱{隹,又}
[1857]		隼	⿻⿱{隹,十}
[1858]		飢	⿰{⻟,几}
[1859]		馬	⿹{⿻⿱{⿻×{⿻×{⿻×{丨,一},丨},二},㇆},灬}
[1861]		骨	⿻⿱{冎,月}
[1862]		高	⿳{亠,口,冋}
[1863]		鬼	⿷{⿻⿱{甶,儿},厶}
[1866]		乾	⿰{車,乞}
[1867]		亀	⿻⿱{⺈,⿻×{昌,乚}}
[1868]		倦	⿰{亻,卷}
[1869]		偃	⿰{亻,匽}
[1870]		偏	⿰{亻,扁}
[1871]		偕	⿰{亻,皆}
[1872]		做	⿰{亻,故}
[1873]		停	⿰{亻,亭}
[1874]		健	⿰{亻,建}
[1875]		偲	⿰{亻,思}
[1876]		側	⿰{亻,則}
[1877]		偵	⿰{亻,貞}
[1878]		偶	⿰{亻,禺}
[1880]		偸	⿰{亻,兪}
[1881]		偽	⿰{亻,為}
[1882]		兜	⿻×{𠒂,白}
[1883]		冨	⿱{冖,畐}
[1884]		凰	⿵{⺇,皇}
[1886]		剪	⿱{前,刀}
[1887]		副	⿰{畐,刂}
[1888]		剰	⿰{乗,刂}
[1889]		勒	⿰{革,力}
[1890]		動	⿰{重,力}
[1891]		勘	⿰{甚,力}
[1892]		務	⿰{矛,⿱{攵,力}}
[1893]		匙	⿺{是,匕}
[1894]		唯	⿰{口,隹}
[1895]		唱	⿰{口,昌}
[1896]		唸	⿰{口,念}
[1897]		唾	⿰{口,垂}
[1898]		啀	⿰{口,厓}
[1899]		商	⿻⿱{⿻⿱{亠,丷},冏}
[1900]		問	⿵{門,口}
[1901]		啓	⿱{⿰{戸,攵},口}
[1902]		啖	⿰{口,炎}
[1903]		啜	⿰{口,叕}
[1904]		喝	⿰{口,⿻⿱{日,匂}}
[1905]		國	⿴{囗,或}
[1906]		域	⿰{土,或}
[1907]		埠	⿰{土,阜}
[1908]		埴	⿰{土,直}
[1909]		執	⿰{幸,丸}
[1910]		培	⿰{土,咅}
[1911]		基	⿵{其,土}
[1912]		埼	⿰{土,奇}
[1913]		堀	⿰{土,屈}
[1914]		堂	⿱{龸,⿻⿱{口,土}}
[1915]		堆	⿰{土,隹}
[1916]		堵	⿰{土,者}
[1917]		壷	⿱{士,⿱{冖,亜}}
[1918]		娶	⿱{取,女}
[1919]		娼	⿰{女,昌}
[1920]		婀	⿰{女,阿}
[1921]		婆	⿱{波,女}
[1922]		婉	⿰{女,宛}
[1923]		婚	⿰{女,昏}
[1924]		婢	⿰{女,卑}
[1925]		婦	⿰{女,帚}
[1926]		宿	⿱{宀,佰}
[1927]		寂	⿱{宀,叔}
[1928]		寄	⿱{宀,奇}
[1929]		寅	⿱{宀,⿱{⿻⿱{一,由},ハ}}
[1930]		密	⿱{宓,山}
[1931]		尉	⿰{⿸{尸,示},寸}
[1932]		屠	⿸{尸,者}
[1933]		崇	⿱{山,宗}
[1934]		崎	⿰{山,奇}
[1935]		崑	⿱{山,屁}
[1936]		崖	⿱{山,厓}
[1937]		崗	⿱{山,岡}
[1938]		崙	⿻⿱{山,侖}
[1939]		崩	⿱{山,朋}
[1940]		巣	⿻⿱{畄,木}
[1941]		帳	⿰{巾,長}
[1942]		帷	⿰{巾,隹}
[1943]		常	⿱{龸,吊}
[1944]		庵	⿸{广,奄}
[1945]		庶	⿸{⿸{广,廿},灬}
[1946]		康	⿸{广,隶}
[1947]		庸	⿸{广,⿻⿱{⿻×{⺕,丨},月}}
[1948]		張	⿰{弓,長}
[1949]		強	⿰{弓,⿻⿱{厶,虫}}
[1950]		彗	⿱{⿰{丰,丰},⺕}
[1951]		彩	⿰{采,彡}
[1952]		彫	⿰{周,彡}
[1953]		得	⿰{彳,⿱{日,⿻⿱{一,寸}}}
[1954]		徘	⿰{彳,非}
[1955]		悉	⿱{釆,心}
[1956]		悠	⿱{攸,心}
[1957]		患	⿱{串,心}
[1958]		悪	⿱{亜,心}
[1959]		悵	⿰{忄,長}
[1960]		悸	⿰{忄,季}
[1961]		悼	⿰{忄,卓}
[1962]		悽	⿰{忄,妻}
[1963]		情	⿰{忄,青}
[1964]		惇	⿰{忄,京}
[1965]		惘	⿰{忄,罔}
[1966]		惚	⿰{忄,忽}
[1967]		惜	⿰{忄,昔}
[1968]		惟	⿰{忄,隹}
[1969]		惧	⿰{忄,⿱{且,ハ}}
[1970]		惨	⿰{忄,参}
[1971]		戛	⿱{百,戈}
[1972]		扈	⿸{戸,邑}
[1973]		捧	⿰{扌,奉}
[1974]		捨	⿰{扌,舎}
[1975]		据	⿰{扌,居}
[1976]		捷	⿰{扌,⿻⿱{⿱{一,⺕},龰}}
[1977]		捺	⿰{扌,奈}
[1978]		捻	⿰{扌,念}
[1979]		掃	⿰{扌,帚}
[1980]		授	⿰{扌,受}
[1981]		掏	⿰{扌,匋}
[1982]		排	⿰{扌,非}
[1983]		掘	⿰{扌,屈}
[1984]		掛	⿰{扌,卦}
[1985]		掠	⿰{扌,京}
[1986]		採	⿰{扌,采}
[1987]		探	⿰{扌,条}
[1988]		接	⿰{扌,妾}
[1989]		控	⿰{扌,空}
[1990]		推	⿰{扌,隹}
[1991]		掩	⿰{扌,奄}
[1992]		措	⿰{扌,昔}
[1993]		掬	⿰{扌,匊}
[1994]		掲	⿰{扌,⿻⿱{日,匂}}
[1995]		掴	⿰{扌,国}
[1996]		掻	⿰{扌,⿻⿱{又,虫}}
[1997]		描	⿰{扌,苗}
[1998]		救	⿰{求,攵}
[1999]		敗	⿰{貝,攵}
[2000]		教	⿰{孝,攵}
[2001]		斎	⿵{⻬,示}(⿵{斉,𡭔})
[2002]		斜	⿰{余,斗}
[2003]		斬	⿰{車,斤}
[2004]		断	⿰{⿺{㇄,米},斤}
[2005]		旋	⿰{方,⿱{𠂉,疋}}
[2006]		旌	⿰{方,⿱{𠂉,生}}
[2007]		族	⿰{方,⿱{𠂉,矢}}
[2008]		曹	⿱{⿻⿱{一,曲},日}
[2009]		曼	⿳{日,罒,又}
[2010]		曽	⿱{$9,日}
[2011]		望	⿱{⿰{亡,月},王}
[2012]		桝	⿰{木,舛}
[2013]		桶	⿰{木,甬}
[2014]		梁	⿱{⿰{氵,刅},木}
[2015]		梃	⿰{木,廷}
[2016]		梓	⿰{木,辛}
[2017]		梔	⿰{木,巵}
[2018]		梗	⿰{木,更}
[2019]		梟	⿹{⿻⿱{⿻⿸{⿻×{⿻⿱{′,丨},∃},一},㇆},木}
[2020]		梧	⿰{木,吾}
[2021]		梨	⿱{利,木}
[2022]		梯	⿰{木,弟}
[2023]		械	⿰{木,戒}
[2024]		梱	⿰{木,困}
[2025]		梳	⿰{木,⿱{⿻⿱{亠,厶},⿲{丿,丨,乚}}}
[2026]		梵	⿱{林,凡}
[2027]		梶	⿰{木,尾}
[2028]		欲	⿰{谷,欠}
[2030]		殻	⿰{⿳{土,冖,几},殳}
[2031]		毫	⿵{⿳{亠,口,冖},毛}
[2032]		毬	⿺{毛,求}
[2033]		涯	⿰{氵,厓}
[2034]		液	⿰{氵,夜}
[2035]		涵	⿰{氵,函}
[2036]		涸	⿰{氵,固}
[2037]		涼	⿰{氵,京}
[2038]		淀	⿰{氵,定}
[2039]		淋	⿰{氵,林}
[2040]		淑	⿰{氵,叔}
[2041]		淘	⿰{氵,匋}
[2042]		淙	⿰{氵,宗}
[2043]		淡	⿰{氵,炎}
[2044]		淪	⿰{氵,侖}
[2045]		淫	⿰{氵,⿱{爫,壬}}
[2046]		深	⿰{氵,⿱{⿻⿱{冖,儿},木}}
[2047]		淳	⿰{氵,享}
[2048]		混	⿰{氵,昆}
[2049]		添	⿰{氵,忝}
[2050]		清	⿰{氵,青}
[2051]		渇	⿰{氵,⿻⿱{日,匂}}
[2052]		済	⿰{氵,斉}
[2053]		渉	⿰{氵,歩}
[2054]		渋	⿰{氵,⿱{止,⿱{丷,ハ}}}
[2055]		渓	⿰{氵,⿱{⺤,夫}}
[2056]		渕	⿰{氵,⿰{⿻⿱{丷,天},刂}}
[2057]		渚	⿰{氵,者}
[2058]		烽	⿰{火,夆}
[2059]		爽	⿻×{夾,从}(⿻×{大,𠈌})
[2060]		牽	⿱{⿻⿱{⿻⿱{亠,幺},冖},牛}
[2061]		猊	⿰{犭,兒}
[2062]		猖	⿰{犭,昌}
[2063]		猛	⿰{犭,孟}
[2064]		猜	⿰{犭,靑}
[2065]		猟	⿰{犭,鼡}
[2066]		猪	⿰{犭,者}
[2067]		猫	⿰{犭,苗}
[2068]		率	⿳{亠,⿲{ン,幺,⿱{ノ,乀}},十}
[2069]		現	⿰{𤣩,見}
[2070]		球	⿰{𤣩,求}
[2071]		理	⿰{𤣩,里}
[2072]		琉	⿰{𤣩,⿱{⿻⿱{亠,厶},⿲{丿,丨,乚}}}
[2073]		琢	⿰{𤣩,豕}
[2074]		瓶	⿰{并,瓦}
[2075]		甜	⿰{舌,甘}
[2076]		産	⿸{⿻⿱{⿻⿱{亠,丷},厂},生}
[2077]		畢	⿻⿱{田,⿻×{⿻⿱{⺾,二},丨}}
[2078]		略	⿰{田,各}
[2079]		畦	⿰{田,圭}
[2080]		異	⿻⿱{田,共}
[2081]		疵	⿸{疒,此}
[2082]		痍	⿸{疒,夷}
[2083]		痒	⿸{疒,羊}
[2084]		痔	⿸{疒,寺}
[2085]		痕	⿸{疒,艮}
[2086]		皐	⿻×{皁,⿰{二,二}}
[2087]		盗	⿱{次,皿}
[2088]		盛	⿱{成,皿}
[2089]		眷	⿵{⿻⿱{ハ,⿻×{⿻×{二,丿},乀}},目}
[2090]		眸	⿰{目,牟}
[2091]		眺	⿰{目,兆}
[2092]		眼	⿰{目,艮}
[2093]		硅	⿰{石,圭}
[2094]		票	⿱{⻃,示}
[2095]		祭	⿵{⿰{⿻⿴{夕,ヽ},⿻⿱{乛,乀}},示}
[2096]		祷	⿰{⺭,⿸{⿻×{三,丿},寸}}
[2097]		移	⿰{禾,多}
[2098]		窒	⿱{⿻⿱{宀,儿},至}
[2099]		窓	⿳{⿻⿱{宀,儿},厶,心}
[2100]		竟	⿱{立,見}
[2101]		章	⿱{立,早}
[2102]		笙	⿱{⺮,生}
[2103]		笛	⿱{⺮,由}
[2104]		笠	⿱{⺮,立}
[2105]		符	⿱{⺮,付}
[2106]		第	⿱{⺮,⿹{弔,ノ}}
[2107]		笹	⿱{⺮,世}
[2108]		粒	⿰{米,立}
[2109]		粕	⿰{米,白}
[2110]		粗	⿰{米,且}
[2111]		粘	⿰{米,占}
[2112]		粛	⿸{⿹{⿻⿱{⺕,米},丿},丨}
[2113]		累	⿱{田,糸}
[2114]		細	⿰{糸,田}
[2115]		紳	⿰{糸,申}
[2116]		紹	⿰{糸,召}
[2117]		紺	⿰{糸,甘}
[2118]		終	⿰{糸,冬}
[2119]		絃	⿰{糸,玄}
[2120]		組	⿰{糸,且}
[2121]		絆	⿰{糸,⿻×{⿱{ハ,二},丨}}
[2122]		経	⿰{糸,圣}
[2123]		羚	⿰{⿱{丷,龵},令}
[2124]		羞	⿸{⺶,丑}
[2125]		翌	⿱{羽,立}
[2126]		習	⿱{羽,白}
[2127]		聊	⿰{耳,卯}
[2128]		脚	⿰{月,却}
[2129]		脛	⿰{月,巠}
[2130]		脱	⿰{月,兑}
[2131]		脳	⿰{月,⿱{⺍,凶}}
[2132]		舂	⿵{𡗗,臼}
[2133]		舳	⿰{舟,由}
[2134]		舵	⿰{舟,它}
[2135]		舶	⿰{舟,白}
[2136]		舷	⿰{舟,玄}
[2137]		船	⿰{舟,⿱{八,口}}
[2138]		菅	⿱{⺾,官}
[2139]		菊	⿱{⺾,匊}
[2140]		菌	⿱{⺾,囷}
[2141]		菎	⿱{⺾,昆}
[2142]		菓	⿱{⺾,果}
[2143]		菖	⿱{⺾,昌}
[2144]		菜	⿱{⺾,采}
[2145]		菟	⿱{⺾,兔}
[2146]		菠	⿱{⺾,波}
[2147]		菩	⿱{⺾,咅}
[2148]		菫	⿱{⺾,⿻⿱{⿻×{⿱{一,口},丨},三}}
[2149]		菱	⿱{⺾,夌}
[2150]		菲	⿱{⺾,非}
[2151]		萄	⿱{⺾,匋}
[2152]		萌	⿱{⺾,明}
[2153]		萎	⿱{⺾,委}
[2154]		著	⿱{⺾,者}
[2155]		葛	⿱{⺾,曷}
[2156]		虚	⿸{虍,业}
[2157]		蚯	⿰{虫,丘}
[2158]		蛆	⿰{虫,且}
[2159]		蛇	⿰{虫,它}
[2160]		蛋	⿱{疋,虫}
[2161]		蛍	⿱{⿱{⺍,冖},虫}
[2162]		衒	⿲{彳,玄,亍}(⿻⿲{行,亍})
[2163]		術	⿲{彳,⿺{木,丶},亍}(⿻⿲{行,⿺{木,丶}})
[2164]		袈	⿱{加,衣}
[2165]		袋	⿱{代,衣}
[2166]		袱	⿰{⻂,伏}
[2167]		袴	⿰{⻂,夸}
[2168]		規	⿰{夫,見}
[2169]		視	⿰{⺭,見}
[2170]		訛	⿰{言,化}
[2171]		訣	⿰{言,夬}
[2172]		訥	⿰{言,内}
[2173]		訪	⿰{言,方}
[2174]		設	⿰{言,殳}
[2175]		許	⿰{言,午}
[2176]		訳	⿰{言,尺}
[2177]		豚	⿰{月,豕}
[2178]		貧	⿱{分,貝}
[2179]		貨	⿱{化,貝}
[2180]		販	⿰{貝,反}
[2181]		貪	⿱{今,貝}
[2182]		貫	⿱{毌,貝}
[2183]		責	⿱{龶,貝}
[2184]		貶	⿰{貝,乏}
[2185]		赦	⿰{赤,攵}
[2186]		趺	⿰{⻊,夫}
[2187]		躯	⿰{身,区}
[2188]		軟	⿰{車,欠}
[2189]		転	⿰{車,云}
[2190]		逍	⿺{⻍,⿻⿱{𡭔,月}}
[2191]		逕	⿺{⻍,巠}
[2192]		逞	⿺{⻍,呈}
[2193]		逡	⿺{⻍,夌}
[2194]		逮	⿺{⻌,隶}
[2195]		週	⿺{⻌,周}
[2196]		進	⿺{⻌,隹}
[2197]		逸	⿺{⻌,免}
[2198]		部	⿰{音,阝}
[2199]		郭	⿰{享,阝}
[2200]		郵	⿰{垂,阝}
[2201]		郷	⿲{乡,⿸{⿻⿱{∃,レ},ヽ},阝}
[2202]		都	⿰{者,阝}
[2203]		酔	⿰{酉,卆}
[2204]		釈	⿰{釆,尺}
[2205]		野	⿰{里,予}
[2206]		釣	⿰{金,勺}
[2207]		釧	⿰{金,川}
[2208]		閉	⿵{門,オ}
[2209]		閊	⿵{門,山}
[2210]		陪	⿰{阝,咅}
[2211]		陰	⿰{阝,⿻⿱{今,云}}
[2212]		陳	⿰{阝,東}
[2213]		陵	⿰{阝,夌}
[2214]		陶	⿰{阝,匋}
[2215]		陸	⿰{阝,坴}
[2216]		険	⿰{阝,⿵{人,⿸{⿻×{⿱{一,口},丿},乀}}}(⿰{阝,⿵{人,吏}})
[2217]		隆	⿰{阝,⿵{夂,生}}
[2218]		雀	⿸{少,隹}
[2219]		雪	⿱{⻗,∃}
[2220]		頂	⿰{丁,頁}
[2221]		頃	⿰{匕,頁}
[2222]		魚	⿱{⿻⿱{⺈,田},灬}
[2223]		鳥	⿹{⿻⿱{⿻⿸{⿻⿰{⿻⿱{′,丨},∃},一},㇆},灬}
[2224]		鹵	⿻⿱{⺊,⿴{囗,𠂭}}
[2225]		鹿	⿸{⿻⿸{广,⿻⿱{⿻×{𠃍,⿰{丨,丨}},一}},比}
[2226]		麻	⿸{广,林}
[2227]		黄	⿱{⿻⿱{⿻⿱{卄,一},由},ハ}
[2228]		黒	⿱{里,灬}
[2231]		偉	⿰{亻,韋}
[2232]		傀	⿰{亻,鬼}
[2233]		傍	⿰{亻,旁}
[2234]		傘	⿱{人,⿻⿱{𠈌,十}}
[2235]		備	⿰{亻,⿱{⺾,⿸{厂,用}}}
[2236]		僅	⿰{亻,菫}
[2237]		凱	⿰{豈,几}
[2238]		割	⿰{害,刂}
[2239]		剴	⿰{豈,刂}
[2240]		創	⿰{倉,刂}
[2241]		勝	⿰{月,券}
[2242]		募	⿵{莫,力}
[2243]		勤	⿰{菫,力}
[2245]		博	⿰{十,⿺{専,丶}}
[2247]		卿	⿻⿲{卯,⿻⿸{⿻⿰{⿻⿱{′,丨},∃},二}}
[2248]		厨	⿸{厂,⿰{豆,寸}}
[2249]		厩	⿸{厂,⿰{⿻⿸{⿻⿰{⿻⿱{′,丨},∃},二},兂}}
[2250]		啻	⿱{帝,口}
[2251]		啼	⿰{口,帝}
[2252]		啾	⿰{口,秋}
[2253]		喀	⿰{口,客}
[2254]		喃	⿰{口,南}
[2255]		善	⿱{⿻⿱{⿻⿱{⿻×{兰,丨},丷},一},口}
[2256]		喇	⿰{口,剌}
[2257]		喉	⿰{口,侯}
[2258]		喊	⿰{口,咸}
[2259]		喋	⿰{口,枼}
[2260]		喘	⿰{口,耑}
[2261]		喚	⿰{口,奐}
[2262]		喜	⿱{喜,口}
[2263]		喧	⿰{口,宣}
[2264]		喨	⿰{口,亮}
[2265]		喩	⿰{口,兪}
[2267]		喪	⿻⿱{⿻⿱{十,吅},衣}(⿻⿱{⿻×{土,吅},𧘇})
[2268]		喫	⿰{口,契}
[2269]		喬	⿱{呑,冋}
[2270]		喰	⿰{口,食}
