[210]		一	×一
[416]		平	⿻×{⿳{一,丷,一},丨}(⿻⿱{丷,干})
[417]		幼	⿰{幺,力}
[418]		庁	⿸{广,丁}
[419]		広	⿸{广,厶}
[420]		弁	⿱{厶,廾}
[421]		弗	⿻×{弓,⿰{丿,丨}}
[422]		弘	⿰{弓,厶}
[424]		必	⿻×{心,ノ}(⿰{⿰{',⿻⿱{ソ,㇃}},丶})
[425]		戊	⿻⿺{⿻⿰{厂,⿻⿱{㇂,ノ}},丶}(⿻⿰{丿,戈})
[426]		打	⿰{扌,丁}
[427]		払	⿰{扌,厶}
[428]		斥	⿻⿸{斤,ヽ}
[429]		旦	⿱{日,一}
[430]		旧	⿰{丨,日}
[431]		未	⿻⿱{一,木}
[432]		末	⿻⿱{一,木}
[433]		本	⿻⿵{木,一}
[434]		札	⿰{木,乚}
[435]		正	⿱{一,止}
[436]		母	⿻×{⿻×{⿻×{㇄,㇆},⺀},一}
[437]		民	⿸{⿻⿱{コ,レ},⿻×{一,㇂}}
[438]		氷	↖{丶,水}
[439]		永	⿻⿱{丶,⿲{㇇,㇆,⿻⿱{ノ,㇏}}}(⿻⿱{丶,氷})
[440]		氾	⿰{氵,⺋}
[441]		汁	⿰{氵,十}
[442]		牙	⿱{一,⿻⿰{ノ,オ}}
[443]		犯	⿰{犭,⺋}
[444]		玄	⿱{亠,幺}
[445]		玉	⿻⿸{王,丶}
[446]		瓜	⿻⿱{爪,⿻⿰{一,ヽ}}(⿻⿱{爪,厶})(⿻⿵{𤓰,ヽ})
[447]		瓦	⿴{⿻⿰{⿻⿱{一,レ},㇈},丶}
[448]		甘	⿻×{卄,二}(⿻×{廿,一})
[449]		生	⿻↖{ノ,龶}
[450]		用	⿻⿵{⺆,⿻×{丨,二}}
[451]		田	⿻⿵{冂,⿻×{丨,二}}
[452]		由	⿻⿵{⿻×{冂,丨},二}
[453]		甲	⿻⿵{日,丨}
[454]		申	⿻×{日,丨}
[455]		疋	⿻⿱{乛,龰}
[456]		白	⿻⿱{′,日}
[457]		皮	⿸{⿻⿰{丿,⿻×{乛,丨}},又}(⿸{⿻×{厂,丨},又})
[458]		皿	⿻⿱{⺵,一}
[459]		目	⿻×{冂,三}(⿻×{日,一})
[460]		矛	⿻⿱{龴,⿻⿱{乛,⿻⿰{ノ,亅}}}
[461]		矢	⿻↖{ノ,天}
[462]		石	⿸{⿻⿱{一,ノ},口}
[463]		示	⿻⿱{⿱{一,丁},八}
[464]		礼	⿰{礻,乚}
[465]		穴	⿱{宀,八}
[466]		立	⿱{亠,䒑}
[467]		辷	⿺{⻍,一}
[468]		辺	⿺{⻌,刀}
[469]		辻	⿺{⻍,十}
[470]		込	⿺{⻌,入}
[473]		丞	⿱{氶,一}
[474]		両	⿻⿱{帀,凵}(⿻⿱{⿱{一,冂},山})
[475]		争	⿻×{⿻⿱{⺈,⺕},亅}
[476]		亘	⿱{一,旦}
[477]		亙	⿱{⿻⿵{⿻⿰{丅,𠃍},⺀},一}
[478]		交	⿱{亠,父}
[479]		亥	⿱{亠,⿻⿱{⿻⿱{𡿨,⿱{ノ,ノ}},ヽ}}
[480]		仮	⿰{亻,反}
[481]		仰	⿰{亻,卬}
[482]		仲	⿰{亻,中}
[483]		件	⿰{亻,牛}
[484]		任	⿰{亻,壬}
[485]		企	⿱{人,止}
[486]		伊	⿰{亻,尹}
[487]		伍	⿰{亻,五}
[488]		伎	⿰{亻,支}
[489]		伏	⿰{亻,犬}
[490]		伐	⿰{亻,戈}
[491]		休	⿰{亻,木}
[492]		会	⿻⿱{人,云}
[493]		伝	⿰{亻,云}
[494]		充	⿱{亠,允}
[496]		兆	⿻×{儿,⿰{ン,⿱{ノ,乀}}}
[497]		兇	⿱{凶,儿}
[498]		先	⿱{⿻⿰{ノ,土},儿}
[499]		光	⿱{⿱{⺌,一},儿}
[500]		全	⿻⿱{人,王}
[501]		共	⿱{⿻⿱{〹,一},ハ}
[502]		再	⿻×{⿻×{⿻×{⿱{一,冂},丨},一},一}
[503]		冲	⿰{冫,中}
[504]		凪	⿵{⺇,止}
[505]		刑	⿰{开,刂}
[506]		列	⿰{歹,刂}
[507]		劣	⿱{少,力}
[508]		匈	⿹{勹,凶}
[509]		匠	⿷{匚,斤}
[510]		匡	⿷{匚,王}
[511]		卍	⿻⿹{⿻×{⿺{㇅,丨},一},丨}
[512]		印	⿰{⿻×{⿱{㇀,丨},二},卩}
[513]		危	⿸{厃,⺋}
[514]		叫	⿰{口,丩}
[515]		吃	⿰{口,乞}
[516]		各	⿱{夂,口}
[517]		合	⿻⿱{人,⿱{一,口}}(⿻⿱{亽,口})
[518]		吉	⿱{士,口}
[519]		吊	⿱{口,巾}
[520]		同	⿵{冂,⿱{一,口}}
[521]		名	⿱{夕,口}
[522]		后	⿸{⺁,⿱{一,口}}
[523]		吏	⿻⿱{一,史}
[524]		吐	⿰{口,土}
[525]		向	⿵{⿻⿱{′,冂},口}
[526]		吸	⿰{口,及}
[527]		回	⿴{囗,口}
[528]		因	⿴{囗,大}
[529]		団	⿴{囗,寸}
[530]		在	⿸{⿻⿱{𠂇,丨},土}(⿸{⿻⿱{一,亻},土})
[531]		圭	⿱{土,土}
[532]		地	⿱{土,也}
[533]		壮	⿰{丬,士}
[534]		夙	⿵{⺇,歹}
[535]		多	⿱{夕,夕}
[536]		夷	⿻⿰{⿻×{⿱{一,弓},丿},乀}
[537]		奸	⿰{女,千}
[538]		好	⿰{女,子}
[539]		如	⿰{女,口}
[540]		妃	⿰{女,己}
[541]		妄	⿱{亡,女}
[542]		字	⿱{宀,子}
[543]		存	⿸{⿻⿱{𠂇,丨},子}(⿸{⿻⿱{一,亻},子})
[544]		宅	⿱{宀,乇}
[545]		宇	⿱{宀,于}
[546]		守	⿱{宀,寸}
[547]		安	⿱{宀,女}
[548]		寺	⿱{土,寸}
[549]		尖	⿱{小,大}
[550]		尽	⿵{尺,⺀}
[551]		屹	⿰{山,乞}
[552]		州	⿻×{川,⿲{′,丶,丶}}(⿰{小,⿲{丨,ヽ,丨}})
[553]		巡	⿺{⻌,巛}
[554]		帆	⿰{巾,凡}
[556]		年	⿻×{⿻×{⿻×{⿻⿱{⿻⿰{ノ,一},丨},一},丨},一}
[557]		庄	⿸{广,土}
[558]		式	⿹{弋,工}
[559]		弛	⿰{弓,也}
[560]		当	⿱{⺌,彐}
[561]		忖	⿰{忄,寸}
[562]		忙	⿰{忄,亡}
[563]		戌	⿵{戊,一}
[564]		戎	⿹{戈,𠂇}
[565]		成	⿵{戊,㇆}
[566]		托	⿰{扌,乇}
